designer_profile,source,target,edge,mean_weight
Off-task weak-coupling explorers,AIEnergy,AIParameter,AIEnergy__AIParameter,0.21356421356421354
Technical prompt composers with limited uptake,VisualSpatial,AIParameter,VisualSpatial__AIParameter,0.9027777777777778
Technical prompt composers with limited uptake,AIEnergy,AIParameter,AIEnergy__AIParameter,0.855489417989418
Technical prompt composers with limited uptake,VisualSpatial,AIEnergy,VisualSpatial__AIEnergy,0.7582671957671958
Technical prompt composers with limited uptake,AIParameter,AIFeasibility,AIParameter__AIFeasibility,0.7239417989417989
Technical prompt composers with limited uptake,TechPrompt,AIEnergy,TechPrompt__AIEnergy,0.6851190476190476
Technical prompt composers with limited uptake,TechPrompt,AIParameter,TechPrompt__AIParameter,0.6851190476190476
Technical prompt composers with limited uptake,VisualSpatial,AIFeasibility,VisualSpatial__AIFeasibility,0.6822751322751323
Technical prompt composers with limited uptake,GoalPrompt,TechPrompt,GoalPrompt__TechPrompt,0.6675264550264549
Technical prompt composers with limited uptake,GoalPrompt,AIEnergy,GoalPrompt__AIEnergy,0.6675264550264549
Technical prompt composers with limited uptake,GoalPrompt,AIParameter,GoalPrompt__AIParameter,0.6675264550264549
Technical prompt composers with limited uptake,TechPrompt,VisualSpatial,TechPrompt__VisualSpatial,0.629563492063492
Technical prompt composers with limited uptake,GoalPrompt,VisualSpatial,GoalPrompt__VisualSpatial,0.6119708994708994
Visual-spatial generators,VisualSpatial,AIParameter,VisualSpatial__AIParameter,0.8714285714285714
Visual-spatial generators,AIParameter,AIClimate,AIParameter__AIClimate,0.5714285714285715
Visual-spatial generators,AIParameter,AIFeasibility,AIParameter__AIFeasibility,0.5492063492063493
Visual-spatial generators,AIEnergy,AIParameter,AIEnergy__AIParameter,0.5238095238095238
Visual-spatial generators,VisualSpatial,AIFeasibility,VisualSpatial__AIFeasibility,0.5222222222222223
Visual-spatial generators,VisualSpatial,AIClimate,VisualSpatial__AIClimate,0.5222222222222223
Visual-spatial generators,VisualSpatial,AIEnergy,VisualSpatial__AIEnergy,0.4666666666666667
Visual-spatial generators,AIClimate,AIFeasibility,AIClimate__AIFeasibility,0.4222222222222222
Visual-spatial generators,AIEnergy,AIClimate,AIEnergy__AIClimate,0.3492063492063492
Visual-spatial generators,AIEnergy,AIFeasibility,AIEnergy__AIFeasibility,0.319047619047619
Visual-spatial generators,AIEnergy,SelectiveUptake,AIEnergy__SelectiveUptake,0.0380952380952381
Visual-spatial generators,AIParameter,SelectiveUptake,AIParameter__SelectiveUptake,0.0380952380952381
