agency_dimension,log_indicator,spearman_rho,p_approx,n
goal_setting,design_metric_improvement_after_uptake,-0.36714919964305354,0.2403918623380359,12
self_reflection,performance_goal_density,0.33694185942518656,0.2841776836083665,12
selective_action,technical_parameter_density,0.3341108386011108,0.28849848431560754,12
self_cognition,design_metric_improvement_after_uptake,-0.32604953671989306,0.3010041133704904,12
overall_agency,prompt_after_reasoning_alignment,-0.3245195336329452,0.30341131218100714,12
responsible_action,n_iterations,-0.3152919019758304,0.31815596771516574,12
self_efficacy,AI_reasoning_uptake_rate,-0.30890103160760773,0.3285943093772925,12
self_adjustment,off_task_ratio,-0.30504623872423076,0.33497940013992844,12
responsible_action,net_change,-0.30352120471843363,0.39390724785986464,10
goal_setting,AI_reasoning_uptake_rate,-0.30286776290192674,0.3386172971009518,12
self_efficacy,prompt_after_reasoning_alignment,-0.29774566708770683,0.34725425168133084,12
selective_action,off_task_ratio,-0.2960742905264593,0.3500977813854105,12
self_efficacy,transformative_uptake_rate,0.278010928446847,0.38161162898779044,12
self_reflection,solar_change,0.2662562571134531,0.4571280351332936,10
self_adjustment,net_change,-0.2585156335461738,0.4707984939641843,10
motivation,design_metric_improvement_after_uptake,-0.2577796673733146,0.41857024229920636,12
selective_action,net_change,-0.2542207802839987,0.47846009464030526,10
responsible_action,technical_parameter_density,0.2536831395207831,0.4262619148766733,12
overall_agency,technical_parameter_density,0.2504444226949904,0.4323915788770316,12
goal_setting,net_change,0.2465644837867214,0.4922513115620917,10
self_cognition,prompt_after_reasoning_alignment,-0.24418445427822405,0.44435973332266854,12
motivation,performance_goal_density,0.24267330086749556,0.44727240653096034,12
participative_action,prompt_after_reasoning_alignment,-0.2423626001459198,0.4478723950022827,12
overall_agency,transformative_uptake_rate,0.2415298768230379,0.44948234526762354,12
participative_action,design_metric_improvement_after_uptake,-0.24032706736887452,0.45181266268284004,12
motivation,technical_parameter_density,0.22916516305789628,0.47370838699642404,12
goal_setting,n_iterations,-0.22885892182698572,0.4743159329996456,12
self_efficacy,n_iterations,-0.22330925031578014,0.48538779877871696,12
self_reflection,design_metric_improvement_after_uptake,-0.2210660276063085,0.4898962083216847,12
goal_setting,prompt_after_reasoning_alignment,-0.21624465054518335,0.4996497734811274,12
participative_action,net_change,-0.20866567589347626,0.5629047174147752,10
selective_action,performance_goal_density,0.2072390845763268,0.5180964045199039,12
overall_agency,net_change,-0.20483662259967564,0.5702518795659481,10
responsible_action,performance_goal_density,0.2014773668709349,0.5300511930487879,12
overall_agency,n_iterations,-0.20106101540302043,0.5309196009501409,12
self_efficacy,design_metric_improvement_after_uptake,-0.19781414201873607,0.537712515464507,12
self_reflection,n_iterations,-0.19251612167202417,0.5488747148483211,12
selective_action,n_iterations,-0.18983570375063114,0.5545582974971781,12
participative_action,solar_change,0.18945121214377889,0.6001323155576843,10
self_reflection,AI_reasoning_uptake_rate,-0.1849342102608891,0.5650134843201249,12
self_adjustment,n_iterations,0.17464884745058062,0.5872069763512417,12
self_adjustment,performance_goal_density,0.1688614763214515,0.5998415411115401,12
self_cognition,solar_change,0.16012815380508713,0.6585638765676649,10
participative_action,n_iterations,-0.1591634986032906,0.6212408532717268,12
self_efficacy,net_change,-0.1534851533787301,0.6720495230755399,10
participative_action,technical_parameter_density,0.15192879412132285,0.637383235717017,12
self_efficacy,technical_parameter_density,0.14887283354385342,0.6442460178581262,12
goal_setting,technical_parameter_density,0.14776717787254198,0.6467353212644067,12
selective_action,transformative_uptake_rate,0.14574159725174715,0.6513043878520617,12
self_cognition,technical_parameter_density,0.1436379142813083,0.6560613115418534,12
overall_agency,design_metric_improvement_after_uptake,-0.13279831636696618,0.6807552214090087,12
self_reflection,net_change,-0.13092555317749782,0.7184593863285358,10
participative_action,transformative_uptake_rate,0.1275979291156609,0.692706995829486,12
self_adjustment,AI_reasoning_uptake_rate,-0.12604678681232187,0.6962845330174514,12
motivation,transformative_uptake_rate,0.12076245565629094,0.7085145882257213,12
overall_agency,performance_goal_density,0.11944496183048914,0.7115737879378363,12
goal_setting,solar_change,0.11155824012534708,0.758980796351751,10
goal_setting,transformative_uptake_rate,0.10469502915128329,0.7460805795564407,12
self_cognition,performance_goal_density,-0.10163356120968788,0.7532989865632485,12
self_adjustment,design_metric_improvement_after_uptake,0.10089735237260013,0.755037569212476,12
self_cognition,n_iterations,-0.07900085285471956,0.8071926148442294,12
responsible_action,transformative_uptake_rate,0.07895629608911475,0.8072995558976848,12
self_cognition,transformative_uptake_rate,0.07450973230517446,0.8179867494892616,12
responsible_action,design_metric_improvement_after_uptake,-0.048154341234307674,0.8818608037958195,12
participative_action,performance_goal_density,0.032908138994249075,0.9191319490647847,12
goal_setting,performance_goal_density,-0.032787374774098065,0.9194278616795388,12
self_reflection,prompt_after_reasoning_alignment,-0.0320860202786707,0.9211465985075649,12
motivation,net_change,-0.03159937831760574,0.9309453399746603,10
self_cognition,net_change,0.017555210176447632,0.9616098104935291,10
self_adjustment,prompt_after_reasoning_alignment,-0.003796714075012623,0.9906567035357947,12
selective_action,design_metric_improvement_after_uptake,0.0,1.0,12
self_efficacy,performance_goal_density,0.0,1.0,12
