agency_dimension,log_indicator,spearman_rho,p_approx,n
responsible_action,n_iterations,-0.3710078296869653,0.2120151748872725,13
selective_action,technical_parameter_density,0.3610763522623249,0.22546309786235552,13
responsible_action,net_change,-0.3473544581471126,0.29526140161399317,11
self_adjustment,net_change,-0.34669889685168287,0.29623546239351706,11
self_cognition,AI_reasoning_uptake_rate,-0.34400104320338953,0.2497730205570896,13
overall_agency,prompt_after_reasoning_alignment,-0.33426086857408144,0.2643131331890727,13
overall_agency,transformative_uptake_rate,0.32652922452154004,0.2762021675546775,13
self_efficacy,AI_reasoning_uptake_rate,-0.3122971317913018,0.2988867282374663,13
selective_action,net_change,-0.3099842046511839,0.3535665310459477,11
self_adjustment,performance_goal_density,0.30899876400741594,0.3042911618291493,13
selective_action,performance_goal_density,0.30839504420615627,0.3052863358674207,13
self_reflection,n_iterations,-0.3007019476056918,0.3181288354275116,13
self_reflection,solar_change,0.2993820796734995,0.3711180471688913,11
participative_action,design_metric_improvement_after_uptake,-0.29892035303873643,0.3211454356736243,13
overall_agency,technical_parameter_density,0.2926516318221211,0.33188599553337816,13
selective_action,n_iterations,-0.28856511758669406,0.3389931198898992,13
responsible_action,performance_goal_density,0.28571549998770546,0.34399807699947504,13
responsible_action,technical_parameter_density,0.2825367318385351,0.3496284425388776,13
goal_setting,AI_reasoning_uptake_rate,-0.28241142565193483,0.3498514091896543,13
overall_agency,n_iterations,-0.280168860796533,0.3538548101058705,13
self_efficacy,prompt_after_reasoning_alignment,-0.2770844023338613,0.35940138783614217,13
motivation,performance_goal_density,0.27576226432200124,0.3617931224986468,13
self_cognition,prompt_after_reasoning_alignment,-0.2724815852552006,0.3677645542744119,13
self_reflection,design_metric_improvement_after_uptake,-0.27072530308462833,0.37098274439625767,13
self_efficacy,transformative_uptake_rate,0.2634825932069838,0.38441108021948045,13
overall_agency,net_change,-0.2585544986618109,0.4426817596970478,11
selective_action,transformative_uptake_rate,0.25662484972781363,0.39735626825731507,13
goal_setting,n_iterations,-0.25462770938586116,0.40116797252759095,13
motivation,design_metric_improvement_after_uptake,-0.2534983945850855,0.40333164319554893,13
goal_setting,net_change,0.23880618997613992,0.4794508382799927,11
participative_action,net_change,-0.23823144500331545,0.48054093101782236,11
participative_action,prompt_after_reasoning_alignment,-0.2365286799699904,0.4365544301725621,13
self_reflection,net_change,-0.2284649888476962,0.4992324013462188,11
overall_agency,performance_goal_density,0.22670258927857365,0.4563875936924533,13
participative_action,n_iterations,-0.2251297074413162,0.45960195618710054,13
self_cognition,n_iterations,-0.22472708062284588,0.4604265092345379,13
motivation,technical_parameter_density,0.22305547358844963,0.46385740674908704,13
participative_action,transformative_uptake_rate,0.21414961664462046,0.48233944151961383,13
self_efficacy,n_iterations,-0.2111119255877038,0.4887206611282804,13
selective_action,off_task_ratio,-0.2082185991932641,0.4948345742305116,13
self_cognition,solar_change,0.20652851724645424,0.5423326313214671,11
participative_action,technical_parameter_density,0.2051815055161363,0.5012896605607338,13
participative_action,solar_change,0.20107882113164555,0.5532698445890354,11
goal_setting,prompt_after_reasoning_alignment,-0.1952145771958269,0.5227377268102287,13
self_cognition,transformative_uptake_rate,0.19190413092849798,0.5299494436440177,13
self_adjustment,off_task_ratio,-0.18879030811862924,0.5367720192631062,13
self_cognition,technical_parameter_density,0.1882089300216334,0.5380500260186265,13
self_efficacy,design_metric_improvement_after_uptake,-0.1854872972989886,0.5440501303605081,13
overall_agency,design_metric_improvement_after_uptake,-0.18448099943553684,0.5462757945845786,13
responsible_action,transformative_uptake_rate,0.1694703452841359,0.5799238960506146,13
self_reflection,AI_reasoning_uptake_rate,-0.1540029123760896,0.6154348278922603,13
motivation,transformative_uptake_rate,0.14782707062430936,0.6298375728117449,13
goal_setting,transformative_uptake_rate,0.14272824802801262,0.6418203385673305,13
participative_action,performance_goal_density,0.1426493505393639,0.6420063937724678,13
goal_setting,technical_parameter_density,0.1386306417767466,0.6515085149901341,13
self_efficacy,net_change,-0.13063965051327442,0.7018225955279569,11
self_efficacy,technical_parameter_density,0.11875045814308338,0.6992070573355842,13
self_adjustment,AI_reasoning_uptake_rate,-0.10728209425354665,0.7272057992895762,13
self_cognition,net_change,-0.10213872900623963,0.7650713619671672,11
selective_action,design_metric_improvement_after_uptake,-0.0992153676663084,0.7470906088709284,13
goal_setting,solar_change,0.09730672655996822,0.7759344815698279,11
responsible_action,design_metric_improvement_after_uptake,-0.09567081046727503,0.7558746491473318,13
self_reflection,prompt_after_reasoning_alignment,-0.08811266371701666,0.7746943825152384,13
self_adjustment,prompt_after_reasoning_alignment,-0.07488445872169566,0.8079013449585224,13
self_cognition,performance_goal_density,0.06313295346772718,0.8376537498276018,13
motivation,net_change,-0.04849656045851726,0.8873991178944047,11
self_adjustment,n_iterations,-0.013214904480299236,0.9658233249305774,13
self_adjustment,design_metric_improvement_after_uptake,-0.004763441216489457,0.9876778762055858,13
goal_setting,performance_goal_density,0.0,1.0,13
self_efficacy,performance_goal_density,0.0,1.0,13
