agency_dimension,log_indicator,spearman_rho,p_approx,n
participative_action,prompt_after_reasoning_alignment,0.23034110636021415,0.5831437849827303,8
selective_action,n_iterations,0.22758000843692056,0.5877922722203808,8
responsible_action,off_task_ratio,-0.22360679774997896,0.5945030477052724,8
self_reflection,net_change,0.21957887318276972,0.6013319059309179,8
selective_action,performance_goal_density,0.21709401380148868,0.6055573938640868,8
self_adjustment,prompt_after_reasoning_alignment,0.20619652471058067,0.6242003122453312,8
motivation,transformative_uptake_rate,0.20126184217065107,0.63270068535512,8
selective_action,design_metric_improvement_after_uptake,0.19728347646256045,0.6395794438411784,8
goal_setting,prompt_after_reasoning_alignment,0.19518001458970666,0.6432255386372303,8
self_cognition,solar_change,0.16666666666666666,0.693238811728395,8
motivation,design_metric_improvement_after_uptake,-0.16348601482736297,0.6988819279699252,8
self_efficacy,prompt_after_reasoning_alignment,0.1543033499620919,0.7152407778441923,8
self_reflection,solar_change,0.15079365079365076,0.721518736055947,8
goal_setting,performance_goal_density,0.14638501094227999,0.7294239249593872,8
self_adjustment,off_task_ratio,-0.1417366773784602,0.7377815149242164,8
self_cognition,prompt_after_reasoning_alignment,0.13335537736643982,0.7529072847094911,8
responsible_action,design_metric_improvement_after_uptake,0.12996881122750908,0.7590388460407969,8
goal_setting,AI_reasoning_uptake_rate,0.12996881122750908,0.7590388460407969,8
participative_action,AI_reasoning_uptake_rate,-0.1291640430486881,0.7604975489209878,8
self_cognition,net_change,0.12270584089625367,0.7722255514437661,8
self_adjustment,design_metric_improvement_after_uptake,0.10984369379093671,0.7956937451957451,8
selective_action,off_task_ratio,-0.10241100379661423,0.8093177535010712,8
overall_agency,AI_reasoning_uptake_rate,-0.10146925788636822,0.8110470184171039,8
goal_setting,solar_change,0.095831484749991,0.82141304151861,8
overall_agency,prompt_after_reasoning_alignment,0.09523809523809526,0.8225054302036123,8
participative_action,solar_change,0.09523809523809523,0.8225054302036123,8
self_efficacy,net_change,0.08219949365267865,0.8465687946128622,8
self_efficacy,design_metric_improvement_after_uptake,-0.08219949365267865,0.8465687946128622,8
self_efficacy,AI_reasoning_uptake_rate,0.08219949365267865,0.8465687946128622,8
responsible_action,net_change,-0.07798128673650546,0.854376769136117,8
responsible_action,n_iterations,0.07453559924999299,0.8607624970538401,8
self_reflection,n_iterations,0.07407407407407407,0.8616183274447309,8
self_cognition,performance_goal_density,-0.0727392967453308,0.864094134988378,8
overall_agency,performance_goal_density,0.07142857142857144,0.8665262706759096,8
overall_agency,design_metric_improvement_after_uptake,-0.06341828617898013,0.8814091545742029,8
self_cognition,AI_reasoning_uptake_rate,-0.058123819371909635,0.8912630452236807,8
responsible_action,transformative_uptake_rate,0.05,0.906406132812501,8
selective_action,net_change,-0.04762014949096287,0.9108471118689954,8
self_reflection,AI_reasoning_uptake_rate,-0.04520741506704083,0.91535151452085,8
selective_action,transformative_uptake_rate,-0.03925679419426603,0.9264690990282687,8
participative_action,performance_goal_density,-0.0363696483726654,0.9318670204387713,8
self_reflection,performance_goal_density,0.0363696483726654,0.9318670204387713,8
self_adjustment,AI_reasoning_uptake_rate,0.02196873875818734,0.9588218662509123,8
self_adjustment,net_change,0.02196873875818734,0.9588218662509123,8
overall_agency,net_change,-0.012683657235796028,0.9762206931665323,8
goal_setting,n_iterations,0.0,1.0,8
self_efficacy,performance_goal_density,0.0,1.0,8
participative_action,net_change,0.0,1.0,8
